fixture_id,competition,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books
18365782,AFCON,2021,2022-01-09,Ethiopia,Cape Verde Islands,0,1,2,0.23353940965998582,0.3241240896544674,0.4423365006855468,30
18365787,AFCON,2021,2022-01-10,Senegal,Zimbabwe,1,0,0,0.7476403867765895,0.17800961589918796,0.07434999732422254,35
18365788,AFCON,2021,2022-01-10,Guinea,Malawi,1,0,0,0.6351246114273088,0.24440659130841463,0.12046879726427663,34
18365789,AFCON,2021,2022-01-10,Morocco,Ghana,1,0,0,0.39482309938616184,0.3545958402034209,0.2505810604104174,35
18365790,AFCON,2021,2022-01-10,Comoros,Gabon,0,1,2,0.26637305276894213,0.32827664953918934,0.4053502976918686,35
18365791,AFCON,2021,2022-01-11,Algeria,Sierra Leone,0,0,1,0.8179868352932476,0.1343835515124621,0.047629613194290356,35
18365792,AFCON,2021,2022-01-11,Nigeria,Egypt,1,0,0,0.3125782112236213,0.3301882512925577,0.3572335374838211,35
18365793,AFCON,2021,2022-01-11,Sudan,Guinea-Bissau,0,0,1,0.26846590909090906,0.34801136363636365,0.38352272727272724,35
18365794,AFCON,2021,2022-01-12,Tunisia,Mali,0,1,2,0.32307949083140464,0.3470113049670642,0.329909204201531,35
18365795,AFCON,2021,2022-01-12,Mauritania,Gambia,0,1,2,0.26903693384586813,0.3462425767320924,0.3847204894220394,35
18365796,AFCON,2021,2022-01-12,Equatorial Guinea,Côte d'Ivoire,0,1,2,0.1039671682626539,0.24623803009575923,0.6497948016415869,34
18365783,AFCON,2021,2022-01-13,Cameroon,Ethiopia,4,1,0,0.7533021594073451,0.1828403299532391,0.06385751063941575,35
18365784,AFCON,2021,2022-01-13,Cape Verde Islands,Burkina Faso,0,1,2,0.2667237457383078,0.35836335864559704,0.37491289561609525,34
18365797,AFCON,2021,2022-01-14,Senegal,Guinea,0,0,1,0.4847615178637732,0.31185487076666357,0.20338361136956323,35
18365798,AFCON,2021,2022-01-14,Malawi,Zimbabwe,2,1,0,0.2921535893155259,0.333889816360601,0.3739565943238731,35
18365799,AFCON,2021,2022-01-14,Morocco,Comoros,2,0,0,0.7331261641566125,0.19468910583412113,0.07218473000926647,35
18365800,AFCON,2021,2022-01-14,Gabon,Ghana,1,1,1,0.1338044292087693,0.2771194673563972,0.5890761034348334,34
18365801,AFCON,2021,2022-01-15,Nigeria,Sudan,3,1,0,0.7869578517963735,0.163547507711875,0.049494640491751646,35
18365802,AFCON,2021,2022-01-15,Guinea-Bissau,Egypt,0,1,2,0.13360323886639677,0.24291497975708504,0.6234817813765182,35
18365803,AFCON,2021,2022-01-16,Gambia,Mali,1,1,1,0.12445886606698542,0.30111015983948086,0.5744309740935336,35
18365804,AFCON,2021,2022-01-16,Côte d'Ivoire,Sierra Leone,2,2,1,0.7311800673641896,0.19682681831072107,0.07199311432508944,34
18365805,AFCON,2021,2022-01-16,Tunisia,Mauritania,4,0,0,0.6594533715399127,0.2283960457528478,0.11215058270723957,35
18365806,AFCON,2021,2022-01-16,Algeria,Equatorial Guinea,0,1,2,0.7218691494054218,0.1996659349419252,0.0784649156526531,35
18365785,AFCON,2021,2022-01-17,Cape Verde Islands,Cameroon,1,1,1,0.14340646139599944,0.27217274909023337,0.5844207895137672,20
18365786,AFCON,2021,2022-01-17,Burkina Faso,Ethiopia,1,1,1,0.605402049053089,0.2502328469419435,0.14436510400496738,34
